Work (J),Volume (m^3)
-0.0,0.1
-4.986406833466507,0.1002002002002002
-9.958885149595421,0.10040040040040041
-14.917501512466501,0.10060060060060061
-19.862322036401594,0.10080080080080081
-24.793412389889546,0.10100100100100101
-29.710837799469157,0.10120120120120121
-34.61466305357071,0.10140140140140141
-39.50495250631626,0.1016016016016016
-44.381770081281246,0.1018018018018018
-49.24517927521282,0.102002002002002
-54.09524316171222,0.1022022022022022
-58.932024394876485,0.1024024024024024
-63.75558521290225,0.10260260260260261
-68.56598744165146,0.10280280280280281
-73.36329249817977,0.10300300300300301
-78.14756139422789,0.10320320320320321
-82.91885473967639,0.10340340340340341
-87.67723274596455,0.10360360360360361
-92.42275522947344,0.10380380380380382
-97.15548161487386,0.10400400400400402
-101.8754709384393,0.1042042042042042
-106.58278185132605,0.1044044044044044
-111.27747262281622,0.1046046046046046
-115.95960114353053,0.10480480480480481
-120.62922492860642,0.10500500500500501
-125.28640112084364,0.10520520520520521
-129.93118649381785,0.10540540540540541
-134.56363745496202,0.10560560560560561
-139.1838100486166,0.10580580580580581
-143.7917599590483,0.10600600600600601
-148.38754251343832,0.10620620620620622
-152.97121268484017,0.10640640640640642
-157.54282509510733,0.10660660660660662
-162.10243401779167,0.10680680680680682
-166.65009338101186,0.10700700700700702
-171.18585677029336,0.10720720720720721
-175.70977743138053,0.10740740740740741
-180.22190827301824,0.10760760760760761
-184.72230186970788,0.10780780780780781
-189.2110104644347,0.10800800800800801
-193.68808597136805,0.10820820820820821
-198.15357997853465,0.10840840840840842
-202.60754375046528,0.10860860860860862
-207.0500282308152,0.10880880880880882
-211.48108404495838,0.10900900900900902
-215.9007615025564,0.10920920920920922
-220.3091106001015,0.10940940940940942
-224.70618102343454,0.10960960960960961
-229.0920221502396,0.10980980980980981
-233.46668305251103,0.11001001001001001
-237.83021249899923,0.11021021021021021
-242.18265895763113,0.11041041041041041
-246.52407059790704,0.11061061061061062
-250.85449529327434,0.11081081081081082
-255.17398062347797,0.11101101101101102
-259.48257387688807,0.11121121121121122
-263.78032205280493,0.11141141141141142
-268.06727186374167,0.11161161161161162
-272.3434697376849,0.11181181181181182
-276.6089618203334,0.11201201201201202
-280.8637939773155,0.11221221221221223
-285.1080117963845,0.11241241241241243
-289.3416605895941,0.11261261261261263
-293.56478539545134,0.11281281281281282
-297.77743098105145,0.11301301301301302
-301.979641844189,0.11321321321321322
-306.1714622154517,0.11341341341341342
-310.35293606029296,0.11361361361361362
-314.52410708108505,0.11381381381381382
-318.6850187191528,0.11401401401401402
-322.83571415678796,0.11421421421421422
-326.97623631924455,0.11441441441441443
-331.10662787671555,0.11461461461461463
