Work (J),Volume (m^3)
-0.0,0.1
-4.988401662804355,0.1002002002002002
-9.966846429464043,0.10040040040040041
-14.935373968947218,0.10060060060060061
-19.89402371362735,0.10080080080080081
-24.842834861160995,0.10100100100100101
-29.7818463763469,0.10120120120120121
-34.71109699296682,0.10140140140140141
-39.630625215607786,0.1016016016016016
-44.540469321468144,0.1018018018018018
-49.44066736214248,0.102002002002002
-54.3312571653924,0.1022022022022022
-59.21227633689834,0.1024024024024024
-64.0837622619946,0.10260260260260261
-68.9457521073873,0.10280280280280281
-73.79828282285607,0.10300300300300301
-78.64139114293852,0.10320320320320321
-83.47511358859916,0.10340340340340341
-88.2994864688816,0.10360360360360361
-93.11454588254499,0.10380380380380382
-97.9203277196849,0.10400400400400402
-102.71686766333787,0.1042042042042042
-107.50420119107255,0.1044044044044044
-112.28236357656228,0.1046046046046046
-117.05138989114563,0.10480480480480481
-121.8113150053708,0.10500500500500501
-126.56217359052539,0.10520520520520521
-131.3040001201516,0.10540540540540541
-136.03682887154733,0.10560560560560561
-140.76069392725273,0.10580580580580581
-145.47562917652297,0.10600600600600601
-150.18166831678684,0.10620620620620622
-154.87884485509193,0.10640640640640642
-159.56719210953605,0.10660660660660662
-164.24674321068505,0.10680680680680682
-168.91753110297788,0.10700700700700702
-173.57958854611758,0.10720720720720721
-178.23294811645144,0.10740740740740741
-182.87764220833458,0.10760760760760761
-187.51370303548458,0.10780780780780781
-192.14116263232165,0.10800800800800801
-196.76005285529658,0.10820820820820821
-201.37040538420686,0.10840840840840842
-205.97225172350022,0.10860860860860862
-210.56562320356642,0.10880880880880882
-215.1505509820171,0.10900900900900902
-219.72706604495374,0.10920920920920922
-224.29519920822437,0.10940940940940942
-228.85498111866812,0.10960960960960961
-233.40644225535007,0.10980980980980981
-237.9496129307819,0.11001001001001001
-242.48452329213438,0.11021021021021021
-247.01120332243732,0.11041041041041041
-251.5296828417691,0.11061061061061062
-256.03999150843515,0.11081081081081082
-260.54215882013636,0.11101101101101102
-265.0362141151262,0.11121121121121122
-269.5221865733578,0.11141141141141142
-274.00010521762135,0.11161161161161162
-278.4699989146699,0.11181181181181182
-282.93189637633657,0.11201201201201202
-287.3858261606408,0.11221221221221223
-291.8318166728851,0.11241241241241243
-296.26989616674206,0.11261261261261263
-300.7000927453313,0.11281281281281282
-305.1224343622884,0.11301301301301302
-309.53694882282156,0.11321321321321322
-313.9436637847616,0.11341341341341342
-318.3426067596014,0.11361361361361362
-322.73380511352644,0.11381381381381382
-327.1172860684362,0.11401401401401402
-331.4930767029572,0.11421421421421422
-335.8612039534456,0.11441441441441443
-340.22169461498345,0.11461461461461463
-344.57457534236386,0.11481481481481483
-348.91987265106906,0.11501501501501503
-353.25761291823903,0.11521521521521522
-357.5878223836338,0.11541541541541542
-361.91052715058345,0.11561561561561562
-366.22575318693396,0.11581581581581582
-370.5335263259827,0.11601601601601602
-374.8338722674061,0.11621621621621622
-379.12681657818024,0.11641641641641642
-383.4123846934922,0.11661661661661663
-387.6906019176446,0.11681681681681683
-391.9614934249522,0.11701701701701703
-396.2250842606304,0.11721721721721723
-400.48139934167654,0.11741741741741743
-404.7304634577438,0.11761761761761763
-408.97230127200737,0.11781781781781783
-413.20693732202335,0.11801801801801803
-417.4343960205805,0.11821821821821824
-421.65470165654426,0.11841841841841842
-425.86787839569536,0.11861861861861862
-430.07395028155815,0.11881881881881882
-434.2729412362255,0.11901901901901903
-438.46487506117427,0.11921921921921923
-442.6497754380751,0.11941941941941943
-446.8276659295951,0.11961961961961963
-450.99856998019413,0.11981981981981983
-455.1625109169135,0.12002002002002003
-459.31951195015944,0.12022022022022023
-463.469596174479,0.12042042042042043
-467.6127865693297,0.12062062062062062
-471.7491059998443,0.12082082082082082
-475.87857721758564,0.12102102102102102
-480.0012228612994,0.12122122122122123
-484.117065457658,0.12142142142142143
-488.2261274219991,0.12162162162162163
-492.3284310590586,0.12182182182182183
-496.4239985636963,0.12202202202202203
-500.512852021617,0.12222222222222223
-504.5950134100852,0.12242242242242243
-508.670504598633,0.12262262262262263
-512.7393473497642,0.12282282282282284
-516.8015633196509,0.12302302302302304
-520.8571740588247,0.12322322322322324
-524.9062010128641,0.12342342342342344
-528.9486655230733,0.12362362362362364
-532.9845888271578,0.12382382382382384
-537.0139920598942,0.12402402402402403
-541.0368962537942,0.12422422422422423
-545.0533223397624,0.12442442442442443
-549.0632911477508,0.12462462462462463
-553.0668234074059,0.12482482482482483
-557.0639397487136,0.12502502502502505
-561.0546607026336,0.12522522522522522
-565.039006701737,0.12542542542542542
-569.0169980808296,0.12562562562562563
-572.9886550775765,0.12582582582582583
-576.9539978331197,0.12602602602602603
-580.9130463926913,0.12622622622622623
-584.8658207062205,0.12642642642642643
-588.8123406289378,0.12662662662662663
-592.7526259219726,0.12682682682682683
-596.6866962529476,0.12702702702702703
-600.6145711965673,0.12722722722722724
-604.5362702352029,0.12742742742742744
-608.4518127594713,0.12762762762762764
-612.3612180688112,0.12782782782782784
-616.2645053720532,0.12802802802802804
-620.1616937879869,0.12822822822822824
-624.052802345922,0.12842842842842844
-627.937849986246,0.12862862862862864
-631.8168555609773,0.12882882882882885
-635.6898378343149,0.12902902902902905
-639.5568154831817,0.12922922922922925
-643.4178070977662,0.12942942942942945
-647.2728311820573,0.12962962962962965
-651.1219061543778,0.12982982982982985
-654.9650503479118,0.13003003003003005
-658.8022820112276,0.13023023023023023
-662.6336193088014,0.13043043043043046
-666.4590803215259,0.13063063063063063
-670.2786830472313,0.13083083083083083
-674.0924454011865,0.13103103103103103
-677.9003852166061,0.13123123123123123
-681.70252024515,0.13143143143143143
-685.4988681574208,0.13163163163163163
-689.2894465434557,0.13183183183183184
-693.0742729132156,0.13203203203203204
-696.8533646970709,0.13223223223223224
-700.6267392462823,0.13243243243243244
-704.3944138334803,0.13263263263263264
-708.1564056531372,0.13283283283283284
-711.9127318220408,0.13303303303303304
-715.6634093797595,0.13323323323323324
-719.4084552891067,0.13343343343343345
-723.1478864366014,0.13363363363363365
-726.8817196329252,0.13383383383383385
-730.6099716133747,0.13403403403403405
-734.3326590383128,0.13423423423423425
-738.0497984936148,0.13443443443443445
-741.7614064911118,0.13463463463463465
-745.4674994690304,0.13483483483483485
-749.1680937924306,0.13503503503503506
-752.8632057536383,0.13523523523523526
-756.5528515726764,0.13543543543543546
-760.2370473976912,0.13563563563563563
-763.9158093053784,0.13583583583583586
-767.5891533013996,0.13603603603603603
-771.2570953208074,0.13623623623623626
-774.9196512284509,0.13643643643643644
-778.5768368193976,0.13663663663663667
-782.2286678193318,0.13683683683683684
-785.8751598849694,0.13703703703703704
-789.5163286044551,0.13723723723723724
-793.1521894977636,0.13743743743743744
-796.782758017097,0.13763763763763764
-800.4080495472786,0.13783783783783785
-804.0280794061439,0.13803803803803805
-807.6428628449293,0.13823823823823825
-811.2524150486571,0.13843843843843845
-814.8567511365187,0.13863863863863865
-818.4558861622543,0.13883883883883885
-822.0498351145302,0.13903903903903905
-825.6386129173134,0.13923923923923925
-829.2222344302436,0.13943943943943946
-832.8007144490016,0.13963963963963966
-836.3740677056771,0.13983983983983986
-839.9423088691317,0.14004004004004006
-843.5054525453598,0.14024024024024026
-847.0635132778486,0.14044044044044046
-850.6165055479337,0.14064064064064066
-854.1644437751517,0.14084084084084086
-857.7073423175926,0.14104104104104104
-861.2452154722498,0.14124124124124127
-864.7780774753614,0.14144144144144144
-868.3059425027602,0.14164164164164167
-871.828824670209,0.14184184184184184
-875.3467380337454,0.14204204204204207
-878.8596965900117,0.14224224224224224
-882.3677142765961,0.14244244244244245
-885.8708049723589,0.14264264264264265
-889.3689824977643,0.14284284284284285
-892.8622606152076,0.14304304304304305
-896.3506530293395,0.14324324324324325
-899.8341733873891,0.14344344344344345
-903.312835279484,0.14364364364364365
-906.7866522389686,0.14384384384384385
-910.2556377427195,0.14404404404404406
-913.7198052114601,0.14424424424424426
-917.1791680100712,0.14444444444444446
-920.6337394479011,0.14464464464464466
-924.0835327790727,0.14484484484484486
-927.5285612027878,0.14504504504504506
-930.9688378636315,0.14524524524524526
-934.4043758518719,0.14544544544544546
-937.8351882037598,0.14564564564564567
-941.2612879018247,0.14584584584584587
-944.6826878751702,0.14604604604604607
-948.099400999767,0.14624624624624627
-951.5114400987421,0.14644644644644644
-954.9188179426708,0.14664664664664667
-958.3215472498579,0.14684684684684685
-961.71964068663,0.14704704704704707
-965.1131108676105,0.14724724724724725
-968.501970356008,0.14744744744744748
-971.8862316638883,0.14764764764764765
-975.2659072524586,0.14784784784784785
-978.641009532337,0.14804804804804805
-982.0115508638288,0.14824824824824825
-985.3775435571974,0.14844844844844846
-988.7389998729348,0.14864864864864866
-992.0959320220284,0.14884884884884886
-995.4483521662276,0.14904904904904906
-998.796272418309,0.14924924924924926
