Temperature (K),U (isolated),F (isolated),S (isolated),U (soc),F (soc),S (soc),U (soc_cfs),F (soc_cfs),S (soc_cfs)
300.0,0.0,-0.06822490952160479,0.00022741636507202253,7.498205170025604e-06,-0.04632124718000929,0.0001544291512839334,0.0005887236148986492,-0.03596371270125111,0.00012184145438716681
300.8504252126063,1.7763568394002505e-15,-0.06841831013222131,0.00022741636507202234,7.614753137374919e-06,-0.04645257762382254,0.00015442953758700723,0.0005926651020278229,-0.036067329746002574,0.00012185451860996857
301.7008504252126,-0.0,-0.06861171074283784,0.00022741636507202234,7.85011710924266e-06,-0.04658390872467953,0.0001544303187753747,0.0006005567100784148,-0.03617096901104295,0.00012188071231372319
302.5512756378189,-0.0,-0.06880511135345437,0.0002274163650720154,8.091371050511498e-06,-0.046715240497177346,0.0001544311172593793,0.0006085099443664532,-0.03627463060736658,0.00012190703626374991
303.4017008504252,-1.7763568394002505e-15,-0.06899851196407088,0.00022741636507200846,8.338624134296424e-06,-0.0468465729561362,0.00015443193330223412,0.0006165248626137654,-0.03637831464550856,0.00012193348991940134
304.25212606303154,-1.7763568394002505e-15,-0.06919191257468742,0.00022741636507202234,8.591986706107946e-06,-0.046977906116600875,0.00015443276716884877,0.0006246015208137834,-0.036482021235543664,0.00012196007273887824
305.10255127563784,1.7763568394002505e-15,-0.06938531318530393,0.0002274163650720154,8.851570283852084e-06,-0.047109239993842096,0.00015443361912572534,0.0006327399732484196,-0.036585750487085435,0.0001219867841792642
305.95297648824413,-0.0,-0.06957871379592045,0.00022741636507200846,9.1174875649358e-06,-0.04724057460335798,0.0001544344894410174,0.000640940272520929,-0.036689502509285286,0.00012201362369673383
306.80340170085043,-1.7763568394002505e-15,-0.06977211440653697,0.00022741636507200846,9.3898524138325e-06,-0.04737190996087534,0.0001544353783844571,0.000649202469593213,-0.03679327741083176,0.00012204059074660475
307.6538269134567,-0.0,-0.06996551501715349,0.00022741636507202234,9.668779865634747e-06,-0.047503246082351056,0.00015443628622734823,0.0006575266137938129,-0.036897075299949844,0.00012206768478339666
308.504252126063,-1.7763568394002505e-15,-0.07015891562777002,0.0002274163650720154,9.954386124277903e-06,-0.04763458298397338,0.00015443721324251425,0.0006659127528498843,-0.037000896284400314,0.0001220949052609631
309.3546773386693,1.7763568394002505e-15,-0.07035231623838653,0.0002274163650720154,1.0246788558987419e-05,-0.04776592068216323,0.00015443815970432595,0.000674360932917395,-0.03710474047147924,0.0001221222516325747
310.2051025512756,1.7763568394002505e-15,-0.07054571684900306,0.00022741636507200153,1.0546105695397046e-05,-0.047897259193575535,0.00015443912588862865,0.0006828711986015534,-0.0372086079680175,0.0001221497233509887
311.05552776388197,-1.7763568394002505e-15,-0.07073911745961958,0.00022741636507202234,1.0852457220877909e-05,-0.048028598535100386,0.00015444011207275607,0.0006914435929843421,-0.037312498880380386,0.00012217731986860145
311.90595297648827,-1.7763568394002505e-15,-0.07093251807023611,0.0002274163650720154,1.1165963991643935e-05,-0.048159938723864364,0.0001544411185354505,0.0007000781576591564,-0.037416413314467344,0.00012220504063742768
312.75637818909456,1.7763568394002505e-15,-0.07112591868085262,0.0002274163650720154,1.1486747997224711e-05,-0.048291279777231716,0.00015444214555689062,0.0007087749327334691,-0.03752035137571168,0.00012223288510927743
313.60680340170086,-1.7763568394002505e-15,-0.07131931929146915,0.00022741636507202234,1.18149323888872e-05,-0.04842262171280555,0.00015444319341864632,0.000717533956869687,-0.03762431316908042,0.00012226085273579768
314.45722861430716,-1.7763568394002505e-15,-0.07151271990208567,0.0002274163650720154,1.2150641465424883e-05,-0.04855396454842901,0.00015444426240363712,0.0007263552673189011,-0.03772829879907421,0.00012228894296855558
315.30765382691345,3.552713678800501e-15,-0.07170612051270218,0.0002274163650720154,1.2494000667828686e-05,-0.04868530830218642,0.00015444535279614258,0.0007352388999271042,-0.037832308369727286,0.00012231715525913567
316.15807903951975,-0.0,-0.07189952112331871,0.0002274163650720154,1.2845136563299775e-05,-0.04881665299240444,0.0001544464648817294,0.00074418488916006,-0.037936341984607505,0.0001223454890591849
317.00850425212604,-1.7763568394002505e-15,-0.07209292173393522,0.0002274163650720154,1.3204176870118545e-05,-0.04894799863765309,0.00015444759894725144,0.0007531932681423825,-0.038040399746816445,0.00012237394382052028
317.85892946473234,-3.552713678800501e-15,-0.07228632234455175,0.00022741636507200846,1.3571250432775628e-05,-0.04907934525674693,0.00015444875528083588,0.0007622640686708593,-0.03814448175898958,0.00012240251899517732
318.7093546773387,-0.0,-0.07247972295516827,0.00022741636507202234,1.394648722374825e-05,-0.04921069286874607,0.00015444993417183805,0.0007713973212482017,-0.0382485881232965,0.00012243121403552812
319.559779889945,1.7763568394002505e-15,-0.0726731235657848,0.00022741636507202234,1.4330018327513017e-05,-0.049342041492957164,0.00015445113591078252,0.0007805930550848217,-0.038352718941441204,0.00012246002839426742
320.4102051025513,-1.7763568394002505e-15,-0.07286652417640133,0.00022741636507202234,1.4721975952980415e-05,-0.04947339114893449,0.00015445236078939772,0.0007898512981432404,-0.03845687431466243,0.00012248896152455488
321.2606303151576,-0.0,-0.07305992478701785,0.0002274163650720154,1.5122493424613026e-05,-0.0496047418564809,0.00015445360910055356,0.0007991720771620692,-0.038561054343734094,0.00012251801288008096
322.1110555277639,-1.7763568394002505e-15,-0.07325332539763436,0.00022741636507200846,1.5531705166438314e-05,-0.049736093635648786,0.00015445488113824402,0.0008085554176613385,-0.03866525912896572,0.0001225471819150982
